GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
GABBR1-6,3740,0.55,0.02,0.32,0.12,0.12,0,2.107797006,0.043386091,0.043386091,GABBR1,XP_017725705.1;XP_006715110.1;XP_030658197.1;XP_024302160.1;BAD92027.1;EAX03208.1;XP_011512755.1;XP_003829770.1;XP_011512757.1,"PREDICTED: gamma-aminobutyric acid type B receptor subunit 1 isoform X1 [Rhinopithecus bieti];gamma-aminobutyric acid type B receptor subunit 1 isoform X2 [Homo sapiens];gamma-aminobutyric acid type B receptor subunit 1 isoform X1 [Nomascus leucogenys];gamma-aminobutyric acid type B receptor subunit 1 isoform X4 [Homo sapiens];gamma-aminobutyric acid (GABA) B receptor 1 isoform c precursor variant, partial [Homo sapiens];gamma-aminobutyric acid (GABA) B receptor, 1, isoform CRA_d [Homo sapiens];gamma-aminobutyric acid type B receptor subunit 1 isoform X3 [Homo sapiens];gamma-aminobutyric acid type B receptor subunit 1 isoform X1 [Pan paniscus];gamma-aminobutyric acid type B receptor subunit 1 isoform X5 [Homo sapiens]",GO:0005576;GO:0007193;GO:0045211;GO:0004965;GO:0030425;GO:0099579;GO:0005886;GO:0007214;GO:0098982;GO:0005737;GO:0004888;GO:1901381;GO:0038039;GO:0098685;GO:0042734;GO:0005887;GO:0150099;GO:0016021;GO:0007186,extracellular region;adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway;postsynaptic membrane;G protein-coupled GABA receptor activity;dendrite;G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential;plasma membrane;gamma-aminobutyric acid signaling pathway;GABA-ergic synapse;cytoplasm;transmembrane signaling receptor activity;positive regulation of potassium ion transmembrane transport;G protein-coupled receptor heterodimeric complex;Schaffer collateral - CA1 synapse;presynaptic membrane;integral component of plasma membrane;neuron-glial cell signaling;integral component of membrane;G protein-coupled receptor signaling pathway,K04615,GABBR,http://www.genome.jp/dbget-bin/www_bget?ko:K04615,cAMP signaling pathway;Neuroactive ligand-receptor interaction;Morphine addiction;Estrogen signaling pathway;GnRH secretion;GABAergic synapse;Taste transduction,"ko04024,ko04080,ko05032,ko04915,ko04929,ko04727,ko04742",-,-,sp|Q9UBS5|GABR1_HUMAN,Gamma-aminobutyric acid type B receptor subunit 1 OS=Homo sapiens OX=9606 GN=GABBR1 PE=1 SV=1
PSMB9,1017,4.1,3.56,4.14,1.12,0.42,0.86,2.37122138,6.69E-07,6.69E-07,PSMB9,XP_033072634.1,proteasome subunit beta type-9 isoform X1 [Trachypithecus francoisi],GO:0005737;GO:2000116;GO:0002376;GO:0005839;GO:0051603;GO:0004298;GO:0005634;GO:0005829,cytoplasm;regulation of cysteine-type endopeptidase activity;immune system process;proteasome core complex;proteolysis involved in cellular protein catabolic process;threonine-type endopeptidase activity;nucleus;cytosol,K02741,"PSMB9,LMP2",http://www.genome.jp/dbget-bin/www_bget?ko:K02741,Proteasome,ko03050,KOG0174,"20S proteasome, regulatory subunit beta type PSMB6/PSMB9/PRE3",sp|P28065|PSB9_HUMAN,Proteasome subunit beta type-9 OS=Homo sapiens OX=9606 GN=PSMB9 PE=1 SV=2
LINC01913,1821,2.13,1.15,1.61,0.78,2.21,0.28,1.606685882,0.008453266,0.008453266,LINC01913,BAC04924.1;CAH10471.1,unnamed protein product [Homo sapiens];hypothetical protein [Homo sapiens],GO:0016021;GO:0005524,integral component of membrane;ATP binding,-,-,-,-,-,-,-,sp|Q86U02|CN165_HUMAN,Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens OX=9606 GN=LINC00596 PE=5 SV=1
ATP6V1G2-DDX39B-2,1201,0,0,1.04,0,0,0,5.2920795,0.025394565,0.025394565,ATP6V1G2-DDX39B,-,-,-,-,-,-,-,-,-,-,-,-,-
ACBD4,2084,2.52,2.6,2.67,0.97,1.31,1.19,1.172670354,0.000185226,0.000185226,ACBD4,XP_016880590.1;XP_016880578.1;XP_016880579.1;XP_016880585.1;XP_016880589.1;NP_001129178.1;XP_011841352.1;XP_011523561.1;XP_016880584.1;XP_006722148.1;NP_001365040.1;NP_001129177.1;XP_024306717.1;XP_016880588.1;XP_016880573.1;XP_016880582.1;XP_016880586.1;XP_011523563.1;XP_016880576.1,acyl-CoA-binding domain-containing protein 4 isoform X17 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X4 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X6 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X12 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X15 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform 1 [Homo sapiens];PREDICTED: acyl-CoA-binding domain-containing protein 4 isoform X1 [Mandrillus leucophaeus];acyl-CoA-binding domain-containing protein 4 isoform X16 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X11 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X7 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform 4 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform 2 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X5 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X14 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X1 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X9 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X13 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X18 [Homo sapiens];acyl-CoA-binding domain-containing protein 4 isoform X2 [Homo sapiens],GO:0000062;GO:0016021;GO:0008289,fatty-acyl-CoA binding;integral component of membrane;lipid binding,-,-,-,-,-,KOG0817,Acyl-CoA-binding protein,sp|Q8NC06|ACBD4_HUMAN;sp|Q2KHT9|ACBD4_BOVIN;sp|Q5R7P6|ACBD4_PONAB,Acyl-CoA-binding domain-containing protein 4 OS=Homo sapiens OX=9606 GN=ACBD4 PE=1 SV=2;Acyl-CoA-binding domain-containing protein 4 OS=Bos taurus OX=9913 GN=ACBD4 PE=2 SV=1;Acyl-CoA-binding domain-containing protein 4 OS=Pongo abelii OX=9601 GN=ACBD4 PE=2 SV=1
FAM88C,2275,0.31,0.12,0.17,0.05,0,0,3.776129038,0.018088435,0.018088435,FAM88C,-,-,-,-,-,-,-,-,-,-,-,-,-
ANK2,5059,0.5,0.67,0.64,0.38,0.38,0.36,1.031957194,0.00140946,0.00140946,ANK2,NP_001373083.1;NP_001341181.1;NP_001341201.1;NP_001373072.1;NP_001341160.1;NP_001341207.1;NP_001373079.1;NP_001341209.1;NP_001120965.1;NP_001341171.1;NP_001373115.1;NP_001341166.1;NP_001341168.1;NP_001341200.1;NP_001373082.1;NP_001341211.1;NP_001341174.1;NP_001341186.1;NP_001373081.1;NP_001341173.1;NP_001373104.1;NP_001341170.1;NP_001341182.1;NP_001341154.1;NP_001373076.1;NP_001373073.1;NP_001341165.1;NP_001341164.1;NP_001341208.1;NP_001341175.1;NP_001341187.1;NP_001341159.1;NP_001341197.1;EAX06288.1;NP_066187.2;NP_001373075.1;NP_001341210.1;NP_001341203.1;NP_001373077.1;NP_001373071.1;NP_001139.3;NP_001341202.1;NP_001341157.1;NP_001341183.1;NP_001341198.1;NP_001373103.1;NP_001341169.1;NP_001373080.1;NP_001373089.1;NP_001341205.1;NP_001341194.1;NP_001341161.1,"ankyrin-2 isoform 61 [Homo sapiens];ankyrin-2 isoform 21 [Homo sapiens];ankyrin-2 isoform 39 [Homo sapiens];ankyrin-2 isoform 51 [Homo sapiens];ankyrin-2 isoform 7 [Homo sapiens];ankyrin-2 isoform 45 [Homo sapiens];ankyrin-2 isoform 57 [Homo sapiens];ankyrin-2 isoform 47 [Homo sapiens];ankyrin-2 isoform 3 [Homo sapiens];ankyrin-2 isoform 15 [Homo sapiens];ankyrin-2 isoform 69 [Homo sapiens];ankyrin-2 isoform 11 [Homo sapiens];ankyrin-2 isoform 12 [Homo sapiens];ankyrin-2 isoform 38 [Homo sapiens];ankyrin-2 isoform 60 [Homo sapiens];ankyrin-2 isoform 49 [Homo sapiens];ankyrin-2 isoform 18 [Homo sapiens];ankyrin-2 isoform 26 [Homo sapiens];ankyrin-2 isoform 59 [Homo sapiens];ankyrin-2 isoform 17 [Homo sapiens];ankyrin-2 isoform 68 [Homo sapiens];ankyrin-2 isoform 14 [Homo sapiens];ankyrin-2 isoform 22 [Homo sapiens];ankyrin-2 isoform 4 [Homo sapiens];ankyrin-2 isoform 54 [Homo sapiens];ankyrin-2 isoform 52 [Homo sapiens];ankyrin-2 isoform 10 [Homo sapiens];ankyrin-2 isoform 9 [Homo sapiens];ankyrin-2 isoform 46 [Homo sapiens];ankyrin-2 isoform 19 [Homo sapiens];ankyrin-2 isoform 27 [Homo sapiens];ankyrin-2 isoform 6 [Homo sapiens];ankyrin-2 isoform 35 [Homo sapiens];ankyrin 2, neuronal, isoform CRA_b [Homo sapiens];ankyrin-2 isoform 2 [Homo sapiens];ankyrin-2 isoform 53 [Homo sapiens];ankyrin-2 isoform 48 [Homo sapiens];ankyrin-2 isoform 41 [Homo sapiens];ankyrin-2 isoform 55 [Homo sapiens];ankyrin-2 isoform 50 [Homo sapiens];ankyrin-2 isoform 1 [Homo sapiens];ankyrin-2 isoform 40 [Homo sapiens];ankyrin-2 isoform 5 [Homo sapiens];ankyrin-2 isoform 23 [Homo sapiens];ankyrin-2 isoform 36 [Homo sapiens];ankyrin-2 isoform 67 [Homo sapiens];ankyrin-2 isoform 13 [Homo sapiens];ankyrin-2 isoform 58 [Homo sapiens];ankyrin-2 isoform 17 [Homo sapiens];ankyrin-2 isoform 43 [Homo sapiens];ankyrin-2 isoform 32 [Homo sapiens];ankyrin-2 isoform 8 [Homo sapiens]",GO:0015031;GO:0070296;GO:0043268;GO:2001259;GO:0006888;GO:0006897;GO:0098907;GO:0030315;GO:0010628;GO:0086091;GO:0043034;GO:0033292;GO:0086066;GO:0036371;GO:0005739;GO:0019901;GO:0045211;GO:0051279;GO:0003283;GO:0016323;GO:0070972;GO:0006874;GO:0030018;GO:0031430;GO:0010881;GO:0005769;GO:0002027;GO:1901019;GO:0055117;GO:0005886;GO:0086014;GO:0055037;GO:0098910;GO:1901021;GO:0072659;GO:0016020;GO:0050821;GO:0030507;GO:0030674;GO:0086015;GO:0051924;GO:0140031;GO:0019899;GO:0034613;GO:0007165;GO:0043005;GO:0016324;GO:0086005;GO:0008093;GO:0086004;GO:1901018;GO:0042383;GO:0086070;GO:0031672;GO:0051928;GO:0033365;GO:0014704;GO:0060307;GO:0031647;GO:0044325;GO:0005829;GO:0036309;GO:0010882;GO:0086046;GO:0005764;GO:0005856;GO:0034394;GO:0051117,protein transport;sarcoplasmic reticulum calcium ion transport;positive regulation of potassium ion transport;positive regulation of cation channel activity;endoplasmic reticulum to Golgi vesicle-mediated transport;endocytosis;regulation of SA node cell action potential;T-tubule;positive regulation of gene expression;regulation of heart rate by cardiac conduction;costamere;T-tubule organization;atrial cardiac muscle cell to AV node cell communication;protein localization to T-tubule;mitochondrion;protein kinase binding;postsynaptic membrane;regulation of release of sequestered calcium ion into cytosol;atrial septum development;basolateral plasma membrane;protein localization to endoplasmic reticulum;cellular calcium ion homeostasis;Z disc;M band;regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion;early endosome;regulation of heart rate;regulation of calcium ion transmembrane transporter activity;regulation of cardiac muscle contraction;plasma membrane;atrial cardiac muscle cell action potential;recycling endosome;regulation of atrial cardiac muscle cell action potential;positive regulation of calcium ion transmembrane transporter activity;protein localization to plasma membrane;membrane;protein stabilization;spectrin binding;protein-macromolecule adaptor activity;SA node cell action potential;regulation of calcium ion transport;phosphorylation-dependent protein binding;enzyme binding;cellular protein localization;signal transduction;neuron projection;apical plasma membrane;ventricular cardiac muscle cell action potential;cytoskeletal anchor activity;regulation of cardiac muscle cell contraction;positive regulation of potassium ion transmembrane transporter activity;sarcolemma;SA node cell to atrial cardiac muscle cell communication;A band;positive regulation of calcium ion transport;protein localization to organelle;intercalated disc;regulation of ventricular cardiac muscle cell membrane repolarization;regulation of protein stability;transmembrane transporter binding;cytosol;protein localization to M-band;regulation of cardiac muscle contraction by calcium ion signaling;membrane depolarization during SA node cell action potential;lysosome;cytoskeleton;protein localization to cell surface;ATPase binding,K10380,ANK,http://www.genome.jp/dbget-bin/www_bget?ko:K10380,Proteoglycans in cancer;Toll and Imd signaling pathway,"ko05205,ko04624",KOG4177,Ankyrin,sp|Q01484|ANK2_HUMAN,Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=4
ACKR3,1955,1.69,1.12,0.87,0.25,0.26,0.09,2.728798054,4.35E-06,4.35E-06,ACKR3,NP_064707.1,atypical chemokine receptor 3 [Homo sapiens],GO:0016494;GO:0031623;GO:0004930;GO:1902230;GO:0006955;GO:0043231;GO:0001570;GO:0007155;GO:0015026;GO:0009897;GO:0019956;GO:0007204;GO:0055037;GO:0005886;GO:0005769;GO:0008285;GO:0016493;GO:0005905;GO:0019958;GO:0016021;GO:0016032;GO:1905322;GO:0005044;GO:0019957;GO:0005768;GO:0007186;GO:0048471;GO:0006935;GO:0019722;GO:0009986;GO:0070374;GO:0070098;GO:0060326;GO:0005634;GO:0001525,C-X-C chemokine receptor activity;receptor internalization;G protein-coupled receptor activity;negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage;immune response;intracellular membrane-bounded organelle;vasculogenesis;cell adhesion;coreceptor activity;external side of plasma membrane;chemokine binding;positive regulation of cytosolic calcium ion concentration;recycling endosome;plasma membrane;early endosome;negative regulation of cell population proliferation;C-C chemokine receptor activity;clathrin-coated pit;C-X-C chemokine binding;integral component of membrane;viral process;positive regulation of mesenchymal stem cell migration;scavenger receptor activity;C-C chemokine binding;endosome;G protein-coupled receptor signaling pathway;perinuclear region of cytoplasm;chemotaxis;calcium-mediated signaling;cell surface;positive regulation of ERK1 and ERK2 cascade;chemokine-mediated signaling pathway;cell chemotaxis;nucleus;angiogenesis,K04304,"CXCR7,ACKR3,RDC1",http://www.genome.jp/dbget-bin/www_bget?ko:K04304,Cytokine-cytokine receptor interaction;Viral protein interaction with cytokine and cytokine receptor,"ko04060,ko04061",-,-,sp|P25106|ACKR3_HUMAN,Atypical chemokine receptor 3 OS=Homo sapiens OX=9606 GN=ACKR3 PE=1 SV=3
ANO1,4350,9.64,8.19,9.31,3.94,3.48,3.73,1.390239421,7.12E-34,7.12E-34,ANO1,XP_011543431.1;XP_018893163.2;XP_006718665.1;NP_001365025.1;BAF85777.1;XP_054225203.1;XP_016776934.1;NP_001365021.1;XP_018893160.2;XP_011543433.1;XP_018893162.2,anoctamin-1 isoform X11 [Homo sapiens];anoctamin-1 isoform X3 [Gorilla gorilla gorilla];anoctamin-1 isoform X10 [Homo sapiens];anoctamin-1 isoform e [Homo sapiens];unnamed protein product [Homo sapiens];anoctamin-1 isoform X13 [Homo sapiens];anoctamin-1 isoform X7 [Pan troglodytes];anoctamin-1 isoform b [Homo sapiens];anoctamin-1 isoform X1 [Gorilla gorilla gorilla];anoctamin-1 isoform X14 [Homo sapiens];anoctamin-1 isoform X2 [Gorilla gorilla gorilla],GO:0046872;GO:0005102;GO:0034707;GO:0006821;GO:0007200;GO:0045121;GO:0015111;GO:0042803;GO:0005229;GO:0005887;GO:1902476;GO:0035774;GO:0005254;GO:0055085;GO:0016021;GO:1901653;GO:0016324;GO:0006812;GO:0005247;GO:0046983;GO:0034605;GO:0005227;GO:0007275;GO:0070062;GO:0005886;GO:0005654;GO:0050965;GO:0034220;GO:0015705;GO:0005737,metal ion binding;signaling receptor binding;chloride channel complex;chloride transport;phospholipase C-activating G protein-coupled receptor signaling pathway;membrane raft;iodide transmembrane transporter activity;protein homodimerization activity;intracellular calcium activated chloride channel activity;integral component of plasma membrane;chloride transmembrane transport;positive regulation of insulin secretion involved in cellular response to glucose stimulus;chloride channel activity;transmembrane transport;integral component of membrane;cellular response to peptide;apical plasma membrane;cation transport;voltage-gated chloride channel activity;protein dimerization activity;cellular response to heat;calcium activated cation channel activity;multicellular organism development;extracellular exosome;plasma membrane;nucleoplasm;detection of temperature stimulus involved in sensory perception of pain;ion transmembrane transport;iodide transport;cytoplasm,K19496,"ANO1,DOG1,TMEM16A",http://www.genome.jp/dbget-bin/www_bget?ko:K19496,-,-,KOG2514,Uncharacterized conserved protein,sp|Q5XXA6|ANO1_HUMAN,Anoctamin-1 OS=Homo sapiens OX=9606 GN=ANO1 PE=1 SV=1
TOP2A,5695,16.49,15.26,18.33,37.59,33.87,38.62,-1.067842156,4.05E-45,4.05E-45,TOP2A,XP_011523467.1;NP_001058.2,DNA topoisomerase 2-alpha isoform X2 [Homo sapiens];DNA topoisomerase 2-alpha [Homo sapiens],GO:1905463;GO:0005634;GO:0003918;GO:0042752;GO:0046982;GO:1990904;GO:0032991;GO:0040016;GO:0008094;GO:0019899;GO:0003723;GO:0048511;GO:0042826;GO:0000775;GO:0043065;GO:0003677;GO:0030263;GO:0006266;GO:0042803;GO:0045944;GO:0008022;GO:0000793;GO:0007143;GO:0000228;GO:0000819;GO:0003682;GO:0005524;GO:0006265;GO:0008301;GO:0005814;GO:0045870;GO:0007059;GO:0000712;GO:0043130;GO:0006974;GO:0005730;GO:0005737;GO:0009330;GO:0002244;GO:0000287;GO:0005654;GO:0005080,"negative regulation of DNA duplex unwinding;nucleus;DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity;regulation of circadian rhythm;protein heterodimerization activity;ribonucleoprotein complex;protein-containing complex;embryonic cleavage;ATP-dependent activity, acting on DNA;enzyme binding;RNA binding;rhythmic process;histone deacetylase binding;chromosome, centromeric region;positive regulation of apoptotic process;DNA binding;apoptotic chromosome condensation;DNA ligation;protein homodimerization activity;positive regulation of transcription by RNA polymerase II;protein C-terminus binding;condensed chromosome;female meiotic nuclear division;nuclear chromosome;sister chromatid segregation;chromatin binding;ATP binding;DNA topological change;DNA binding, bending;centriole;positive regulation of single stranded viral RNA replication via double stranded DNA intermediate;chromosome segregation;resolution of meiotic recombination intermediates;ubiquitin binding;cellular response to DNA damage stimulus;nucleolus;cytoplasm;DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex;hematopoietic progenitor cell differentiation;magnesium ion binding;nucleoplasm;protein kinase C binding",K03164,TOP2,http://www.genome.jp/dbget-bin/www_bget?ko:K03164,Platinum drug resistance,ko01524,KOG0355,DNA topoisomerase type II,sp|P11388|TOP2A_HUMAN,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3
ZNF853,3869,1.11,1.78,1.24,0.56,0.8,0.69,1.078428556,0.000713664,0.000713664,ZNF853,XP_011513740.1;NP_060030.1,zinc finger protein 853 isoform X1 [Homo sapiens];zinc finger protein 853 isoform 1 [Homo sapiens],GO:0000978;GO:0000981;GO:0046872;GO:0006357,"RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;metal ion binding;regulation of transcription by RNA polymerase II",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|P0CG23|ZN853_HUMAN,Zinc finger protein 853 OS=Homo sapiens OX=9606 GN=ZNF853 PE=2 SV=1
